Rank,Turkish,English,,Notes
1,bir,one,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,bu ,this,,The order is based on the number of occurences of each word in the subtitles.
3,ve,and,,
4,ne,What,,2) The English translation is by Google and can be un-reliable for some words.
5,mi,Did you,,
6,için,for,,3) You can change the translation from English to another language.
7,çok,very,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,ben,I,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,o,she is,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,evet,Yeah,,List of supported languages:
11,de,also,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,var,there is,,
13,ama,but,,4) The original source of this list can be found here:
14,mı,is,,https://invokeit.wordpress.com/frequency-word-lists/
15,değil,not,,
16,hayır,no,,5) It is licensed under the following Creative Commons license:
17,sen,you,,http://creativecommons.org/licenses/by-sa/3.0/
18,şey,thing,,
19,da,in,,6) More Most Common word lists (other languages) can be found here:
20,daha,more,,http://www.101languages.net/common-words/
21,bana,to me,,
22,kadar,until,,
23,seni,you,,
24,beni,me,,
25,iyi,good,,
26,onu,him,,
27,tamam,OK,,
28,bunu,this,,
29,gibi,as,,
30,yok,no,,
31,benim,just me,,
32,her,each,,
33,sana,you,,
34,ki,that,,
35,sadece,just,,
36,neden,why is that,,
37,senin,your,,
38,burada,here,,
39,zaman,time,,
40,hiç,no,,
41,şimdi,now,,
42,nasıl,how,,
43,sonra,after,,
44,olduğunu,that,,
45,en,most,,
46,mu,is,,
47,hadi,let's,,
48,misin,will you,,
49,şu,water,,
50,öyle,so,,
51,ya,either,,
52,güzel,beautiful,,
53,biraz,some,,
54,musun,Do you,,
55,önce,prior to,,
56,lütfen,Please,,
57,İyi,Good,,
58,bak,look,,
59,ona,him,,
60,böyle,such,,
61,oldu,it was,,
62,hey,Hey,,
63,istiyorum,I want,,
64,onun,her,,
65,geri,back,,
66,bile,even,,
67,eğer,if,,
68,artık,no longer,,
69,gerçekten,really,,
70,kim,who,,
71,bay,Mr,,
72,yani,so,,
73,çünkü,because,,
74,büyük,big,,
75,doğru,true,,
76,peki,Well,,
77,buraya,here,,
78,biliyorum,I know,,
79,başka,another,,
80,belki,maybe,,
81,olarak,as,,
82,tanrım,my god,,
83,tek,single,,
84,efendim,sorry,,
85,biri,someone,,
86,olur,would,,
87,olacak,it will be,,
88,adam,man,,
89,haydi,come on,,
90,olan,one,,
91,İşte,Here,,
92,et,meat,,
93,sanırım,I think,,
94,merhaba,Hello there,,
95,biz,we,,
96,orada,there,,
97,demek,say,,
98,teşekkürler,thanks,,
99,hiçbir,no,,
100,nerede,where,,
101,yardım,help,,
102,ederim,I would,,
103,bilmiyorum,I do not know,,
104,gün,day,,
105,gece,night,,
106,oh,oh,,
107,fazla,much,,
108,bütün,all,,
109,bunun,it,,
110,tüm,all,,
111,harika,great,,
112,ile,with,,
113,yeni,new,,
114,gel,come,,
115,biliyor,he knows,,
116,iki,two,,
117,kötü,bad,,
118,küçük,small,,
119,tam,full,,
120,olsun,get,,
121,siz,you,,
122,son,last,,
123,şeyler,things,,
124,ol,be,,
125,bayan,Lady,,
126,şeyi,thing,,
127,hemen,immediately,,
128,size,to you,,
129,sorun,problem,,
130,üzgünüm,sorry,,
131,ver,give,,
132,onları,them,,
133,lanet,curse,,
134,teşekkür,thank,,
135,devam,continuation,,
136,kız,girl,,
137,git,go,,
138,sizi,you,,
139,dostum,my friend,,
140,gerek,need,,
141,pekala,well,,
142,bizi,us,,
143,bize,to us,,
144,hakkında,about,,
145,buna,this,,
146,kendi,own,,
147,baba,father,,
148,aynı,same,,
149,anne,mom,,
150,dur,Stop,,
151,oluyor,is happening,,
152,mısın,will you,,
153,iş,business,,
154,kimse,nobody,,
155,asla,never,,
156,diye,that,,
157,izin,permission,,
158,hala,still,,
159,al,get,,
160,seninle,with you,,
161,şunu,it,,
162,olabilir,can,,
163,mü,is,,
164,söyle,tell,,
165,benimle,with me,,
166,tabii,Of course,,
167,para,money,,
168,bizim,our,,
169,selam,Hello,,
170,yoksa,or,,
171,içinde,in,,
172,önemli,important,,
173,değilim,I am not,,
174,yüzden,why,,
175,herkes,everyone,,
176,ister,either,,
177,gidelim,lets go,,
178,dakika,minute,,
179,bırak,leave,,
180,geldi,came,,
181,üç,three,,
182,biliyorsun,you know,,
183,işte,Here,,
184,tekrar,again,,
185,vardı,It had,,
186,bakalım,let's see,,
187,istiyorsun,Would you,,
188,onlar,them,,
189,bugün,today,,
190,özür,apology,,
191,buradan,from here,,
192,hep,always,,
193,miyim,Can I,,
194,yine,again,,
195,yapıyorsun,you are doing,,
196,bekle,expect,,
197,uzun,long,,
198,gerçek,real,,
199,geliyor,coming,,
200,saat,hour,,
201,aslında,actually,,
202,olmak,be,,
203,çocuklar,children,,
204,neler,What,,
205,nedir,what,,
206,çocuk,child,,
207,bence,in my opinion,,
208,burası,here,,
209,onunla,with him,,
210,eve,home,,
211,ilk,first,,
212,göre,by,,
213,sizin,your,,
214,yer,place,,
215,nereye,where,,
216,birlikte,together,,
217,yıl,year,,
218,hepsi,all,,
219,kaç,How many,,
220,dinle,listen,,
221,şekilde,the way,,
222,olmaz,No way,,
223,pek,very,,
224,yere,place,,
225,tanrı,God,,
226,istemiyorum,I do not want,,
227,emin,sure,,
228,fakat,but,,
229,hazır,ready,,
230,zaten,already,,
231,birkaç,a few,,
232,dilerim,I wish,,
233,söz,promise,,
234,söyledi,told,,
235,lazım,necessary,,
236,kendini,itself,,
237,olmalı,should be,,
238,tane,piece,,
239,etmek,make,,
240,misiniz,Are you,,
241,ediyorum,I would,,
242,seviyorum,I love,,
243,tatlım,sweetie,,
244,bunlar,these,,
245,karşı,against,,
246,kesinlikle,exactly,,
247,görmek,see,,
248,birşey,something,,
249,yarın,tomorrow,,
250,olduğu,that,,
251,benden,me,,
252,elbette,of course,,
253,ha,Ha,,
254,istiyor,wants,,
255,aman,Oh,,
256,az,little,,
257,eski,old,,
258,edin,Learn,,
259,anda,currently,,
260,kadın,woman,,
261,İki,Two,,
262,kahretsin,damn,,
263,işi,heat,,
264,yapmak,make,,
265,ilgili,about,,
266,ah,Ah,,
267,an,moment,,
268,oraya,to there,,
269,onlara,to them,,
270,dikkat,attention,,
271,gerekiyor,need,,
272,dışarı,out,,
273,diğer,other,,
274,yapma,making,,
275,işe,if,,
276,hoş,pleasant,,
277,bundan,from this,,
278,zor,difficult,,
279,kez,times,,
280,sakin,quiet,,
281,mutlu,happy,,
282,bakın,Look,,
283,geç,late,,
284,kabul,acceptance,,
285,senden,from you,,
286,dedim,I said,,
287,çabuk,quickly,,
288,gidip,go,,
289,niye,why,,
290,yemek,eat,,
291,hafta,week,,
292,yerde,in place,,
293,kişi,person,,
294,musunuz,Do you,,
295,zorunda,difficult in,,
296,yanlış,false,,
297,görüşürüz,See you,,
298,özel,special,,
299,gördüm,I saw,,
300,gidiyor,going,,
301,doktor,doctor,,
302,ediyor,ediyor,,
303,bazı,Some,,
304,kes,cut,,
305,yalnız,alone,,
306,hem,and,,
307,babam,my father,,
308,beş,five,,
309,gitti,gone,,
310,polis,police,,
311,erkek,male,,
312,merak,wonder,,
313,nereden,where,,
314,kontrol,control,,
315,insan,human,,
316,birini,one,,
317,eminim,I am sure,,
318,ondan,from him,,
319,insanlar,people,,
320,aptal,stupid,,
321,gereken,required,,
322,falan,like,,
323,sağ,right,,
324,ihtiyacım,I need,,
325,etti,It has,,
326,gördün,you saw,,
327,dolar,dollar,,
328,umarım,I hope,,
329,beri,since,,
330,değildi,it was not,,
331,etme,to,,
332,öldü,died,,
333,nefret,hate,,
334,veya,or,,
335,sanki,if,,
336,yeter,enough,,
337,su,water,,
338,adamım,man,,
339,yap,do,,
340,kendine,yourself,,
341,haber,news,,
342,sabah,morning,,
343,kendimi,Myself,,
344,dün,yesterday,,
345,akşam,evening,,
346,ateş,fire,,
347,yalan,lie,,
348,dört,four,,
349,geçen,last,,
350,kal,remain,,
351,sonunda,finally,,
352,annem,My mother,,
353,dünya,world,,
354,sence,what do you think,,
355,değilsin,You are not,,
356,ay,moon,,
357,yaptım,I did,,
358,yerine,instead,,
359,hangi,which,,
360,istediğim,I want,,
361,bunları,these,,
362,boyunca,throughout,,
363,üzerinde,over,,
364,tamamen,completely,,
365,adı,ordinary,,
366,tabi,subject,,
367,karar,decision,,
368,vardır,has,,
369,aç,hungry,,
370,olduğumu,I have,,
371,adım,step,,
372,olun,be,,
373,gitmek,go,,
374,dedi,said,,
375,ayrıca,also,,
376,bitti,it's over,,
377,gelecek,the future,,
378,sakın,quiet,,
379,genç,young,,
380,öyleyse,then,,
381,olmuş,dead,,
382,bende,me,,
383,farklı,different,,
384,yaptın,you did,,
385,jack,jack,,
386,olamaz,can not,,
387,bazen,sometimes,,
388,açık,open,,
389,bebeğim,my baby,,
390,yol,way,,
391,pekâlâ,all right,,
392,söyledim,I told,,
393,dr,dir,,
394,john,John,,
395,olursa,should,,
396,İlk,First,,
397,oldukça,quite,,
398,zamanı,the time,,
399,tarafından,by,,
400,sahip,owner,,
401,içeri,inside,,
402,neyse,anyways,,
403,alo,Hello,,
404,oldum,became,,
405,beraber,together,,
406,mükemmel,excellent,,
407,onların,they,,
408,bilirsin,you know,,
409,eder,it,,
410,ettim,I have,,
411,oğlum,son,,
412,cevap,reply,,
413,henüz,yet,,
414,on,front,,
415,yapıyor,doing,,
416,ise,if,,
417,herif,guy,,
418,olması,being,,
419,aldım,I got,,
420,konuşmak,talk,,
421,uzak,far,,
422,kolay,easy,,
423,yanında,beside,,
424,evde,at home,,
425,adamı,man,,
426,birisi,someone,,
427,evlat,child,,
428,başına,per,,
429,fark,difference,,
430,hayatım,sweetheart,,
431,saniye,second,,
432,acele,rush,,
433,araba,car,,
434,düşünüyorsun,you are thinking,,
435,çocuğu,children,,
436,geldim,I came,,
437,yoktu,did not have,,
438,olsa,Although,,
439,rahat,comfortable,,
440,gidiyorum,I'm going,,
441,hâlâ,still,,
442,yolu,way,,
443,görünüyor,it seems,,
444,ara,intermediate,,
445,yüzünden,because,,
446,a,a,,
447,dersin,of course,,
448,neredeyse,almost,,
449,ancak,but,,
450,hızlı,fast,,
451,dans,dance,,
452,günü,day,,
453,halde,although,,
454,savaş,war,,
455,söylemek,say,,
456,çeneni,up,,
457,ev,home,,
458,geceler,nights,,
459,almak,receive,,
460,şuna,following the,,
461,altında,under,,
462,vay,Wow,,
463,olmadığını,whether,,
464,nasılsın,how are you doing,,
465,güle,bye,,
466,hepimiz,we all,,
467,sanmıyorum,I do not think so,,
468,oyun,game,,
469,boş,null,,
470,süre,time,,
471,bin,thousand,,
472,anlıyorum,I understand,,
473,komik,funny,,
474,durum,status,,
475,galiba,I guess,,
476,yaptı,made,,
477,hava,air,,
478,kaldı,stayed,,
479,duydum,I heard,,
480,günaydın,Good Morning,,
481,yeniden,again,,
482,be,ba,,
483,kapıyı,the door,,
484,buldum,I found,,
485,miyiz,Can,,
486,takip,follow,,
487,new,new,,
488,olacağım,I will be,,
489,gelin,bride,,
490,hayal,dream,,
491,düşündüm,I thought,,
492,sende,cents to,,
493,gidiyoruz,We are going,,
494,bebek,baby,,
495,hayat,life,,
496,söylüyor,says,,
497,ciddi,serious,,
498,yardımcı,help,,
499,kapa,Collapse,,
500,altı,six,,
501,istedim,I wanted,,
502,işin,ray,,
503,canım,dear,,
504,konuda,subject,,
505,göz,eye,,
506,adamın,the man,,
507,beyler,gentlemen,,
508,düşünüyorum,I'm thinking,,
509,gidiyorsun,You are going,,
510,yaşlı,old,,
511,çalışıyorum,I'm trying,,
512,herhangi,any,,
513,azından,least,,
514,böylece,thus,,
515,kardeşim,my brother,,
516,beyaz,white,,
517,başladı,started,,
518,şaka,joke,,
519,gelip,to come,,
520,telefon,telephone,,
521,hareket,movement,,
522,verin,give,,
523,gelen,incoming,,
524,sürü,herd,,
525,durun,stay,,
526,üzerine,over,,
527,gelir,revenue,,
528,memnun,satisfied,,
529,şeyin,thing,,
530,kesin,exact,,
531,yolunda,right,,
532,baban,your father,,
533,yeterince,enough,,
534,herşey,everything,,
535,hayatta,in life,,
536,arada,between,,
537,arkadaşım,my friend,,
538,kimin,whose,,
539,güçlü,strong,,
540,el,hand,,
541,mısınız,Are you,,
542,anladın,you understand,,
543,verdi,gave,,
544,yakın,near,,
545,çıkar,interest,,
546,konusunda,about,,
547,garip,strange,,
548,bırakın,release,,
549,hepsini,all,,
550,şeye,thing,,
551,İçeri,Inside,,
552,sanıyorsun,You thought you,,
553,soru,question,,
554,silah,gun,,
555,parayı,money,,
556,çıktı,output,,
557,otur,sit down,,
558,kısa,short,,
559,yapacağım,I will do,,
560,çık,exit,,
561,geldin,You came,,
562,çalışıyor,working,,
563,korkunç,terrible,,
564,durumda,in the case,,
565,anladım,I understand,,
566,acaba,I wonder,,
567,kızı,daughter,,
568,iyiyim,I'm fine,,
569,sağol,thanks,,
570,hatta,even,,
571,uygun,appropriate,,
572,haklısın,fair enough,,
573,yapamam,I can not do,,
574,terk,abandonment,,
575,yaptığını,do that,,
576,siktir,Fuck,,
577,tür,type,,
578,değildir,it is not,,
579,olduğuna,that,,
580,geliyorum,I am coming,,
581,dön,frost,,
582,şeyleri,things,,
583,kere,times,,
584,şöyle,As,,
585,dikkatli,careful,,
586,kan,blood,,
587,ait,belonging to,,
588,arasında,between,,
589,frank,franc,,
590,bilmek,know,,
591,neyin,what,,
592,neyi,what,,
593,aşağı,down,,
594,çek,Czech,,
595,rahatsız,uncomfortable,,
596,veriyorum,I am giving,,
597,dünyanın,the world,,
598,bi,one,,
599,dolu,full,,
600,geçti,passed,,
601,ortaya,out,,
602,verdim,I gave,,
603,varsa,If,,
604,muhtemelen,probably,,
605,yakında,soon,,
606,burda,here,,
607,sevindim,I'm glad,,
608,ihtiyacı,need,,
609,olacağını,would be,,
610,neydi,what was it,,
611,annen,mother,,
612,diyorsun,you say,,
613,sürekli,continuous,,
614,milyon,million,,
615,yüksek,high,,
616,tuhaf,strange,,
617,sizinle,With you,,
618,hissediyorum,I feel,,
619,fikir,idea,,
620,zamanda,time,,
621,deli,mad,,
622,olmadan,without,,
623,dışında,outside,,
624,bizimle,with us,,
625,kahrolası,goddamn,,
626,at,horse,,
627,başkan,president,,
628,yukarı,up,,
629,olmayacak,will be,,
630,bayım,sir,,
631,acı,pain,,
632,aldı,took,,
633,olmadı,It was not,,
634,dedin,you said,,
635,aşk,love,,
636,olası,possible,,
637,yalnızca,just,,
638,getir,bring,,
639,biliyordum,I knew,,
640,kızlar,girls,,
641,sensin,you,,
642,i,I,,
643,tatlı,dessert,,
644,hoşça,nicely,,
645,affedersiniz,Excuse me,,
646,ediyorsun,you're,,
647,yemin,oath,,
648,etmeye,Do not,,
649,ölüm,death,,
650,ölü,dead,,
651,içine,into,,
652,yapacağız,we will do,,
653,edecek,will,,
654,dışarıda,outside,,
655,üzere,in,,
656,yavaş,slow,,
657,tut,tutu,,
658,ihtiyacın,Your need,,
659,tahmin,guess,,
660,herşeyi,everything,,
661,koca,husband,,
662,birinin,one's,,
663,york,york,,
664,sessiz,quiet,,
665,hasta,patient,,
666,gizli,hidden,,
667,mümkün,possible,,
668,yapacak,will make,,
669,duydun,you heard,,
670,olurdu,it would be,,
671,köpek,dog,,
672,amerika,America,,
673,yapıyorum,I'm doing,,
674,eden,community,,
675,gerektiğini,ought,,
676,ihtiyacımız,we need,,
677,berbat,wretched,,
678,charlie,charlie,,
679,istersen,if you want,,
680,zarar,damage,,
681,sıcak,hot,,
682,ana,mother,,
683,şans,chance,,
684,gidin,Go,,
685,joe,joe,,
686,sanıyordum,I thought,,
687,oradan,from there,,
688,kahve,coffee,,
689,yapmaya,making,,
690,yapar,makes,,
691,olay,event,,
692,dek,until,,
693,görünüyorsun,you look,,
694,diyor,says,,
695,şarkı,song,,
696,vermek,give,,
697,kalk,up,,
698,nefes,breath,,
699,olup,The,,
700,anlaşıldı,roger,,
701,sevgili,dear,,
702,görüyorum,I see,,
703,orospu,bitch,,
704,bilmem,I do not know,,
705,üstüne,over,,
706,sam,Sam,,
707,insanların,peoples,,
708,evine,house,,
709,varmış,had,,
710,İnsanlar,People,,
711,basit,simple,,
712,film,film,,
713,istediğini,he wanted,,
714,pislik,dirt,,
715,kızım,my daughter,,
716,zavallı,poor,,
717,istedi,wanted,,
718,olmayan,non-,,
719,yedi,seven,,
720,david,david,,
721,pardon,pardon,,
722,alın,Learn,,
723,the,the,,
724,tıpkı,just as,,
725,olmalısın,You should be,,
726,yıldır,years,,
727,isterim,I want,,
728,buradayım,buradayım,,
729,tom,tom,,
730,george,George,,
731,birine,to someone,,
732,herkesin,everybody's,,
733,keşke,if only,,
734,dalga,wave,,
735,benziyor,It looks like,,
736,zamandır,time,,
737,sesini,your voice,,
738,unutma,Keep in mind,,
739,neye,what,,
740,sefer,expedition,,
741,aldın,lower,,
742,bilmiyor,he does not know,,
743,diyorum,I say,,
744,normal,normal,,
745,çeviri,translation,,
746,ufak,small,,
747,herhalde,I suppose,,
748,ahbap,buddy,,
749,bununla,With this,,
750,baş,head,,
751,ettin,you've,,
752,yapacaksın,you do,,
753,yeterli,enough,,
754,muhteşem,spectacular,,
755,yüz,face,,
756,olacaksın,you will be,,
757,çekil,get out,,
758,görüyor,sees,,
759,yeri,place,,
760,aşkına,sake,,
761,önünde,in front of,,
762,söyledin,You said,,
763,belli,certain,,
764,söylüyorum,I say,,
765,miydi,was,,
766,hata,error,,
767,michael,michael,,
768,söylemiştim,I say,,
769,aile,family,,
770,fena,bad,,
771,düşün,think,,
772,bunların,these,,
773,alabilir,can take,,
774,numara,number,,
775,evi,House,,
776,bayanlar,ladies,,
777,tehlikeli,dangerous,,
778,millet,nation,,
779,alıp,take,,
780,bilir,knows,,
781,yaşında,aged,,
782,doğum,birth,,
783,yürü,walk,,
784,yoktur,There is no,,
785,bekliyor,waiting,,
786,inanamıyorum,I cant believe,,
787,gitmem,I dont go,,
788,adına,in the name of,,
789,birçok,many,,
790,ses,sound,,
791,içki,drink,,
792,erken,early,,
793,hayatını,his life,,
794,bok,shit,,
795,kendisi,itself,,
796,vakit,time,,
797,İsa,Jesus,,
798,adını,name,,
799,ele,addressed,,
800,seks,sex,,
801,sıkı,tight,,
802,anlıyor,understands,,
803,yaparım,I do,,
804,allah,God,,
805,edeceğim,I will make,,
806,aynen,exactly,,
807,güvenlik,security,,
808,canlı,live,,
809,müzik,music,,
810,kaptan,captain,,
811,hatırlıyor,remember,,
812,güç,power,,
813,sonraki,next,,
814,saçma,absurd,,
815,kimsin,who are you,,
816,kırmızı,red,,
817,günler,days,,
818,söyleme,mention,,
819,anlamıyorum,I do not understand,,
820,aşık,in love,,
821,arkadaş,friend,,
822,verir,gives,,
823,bekleyin,wait,,
824,durumu,status,,
825,bakma,look,,
826,kimsenin,anyone,,
827,arkadaşın,your friend,,
828,temiz,clean,,
829,oda,room,,
830,birşeyler,something,,
831,niçin,why,,
832,geldik,we came,,
833,çocukları,children,,
834,olduğum,I'm,,
835,düşünüyor,think,,
836,olduğun,you are,,
837,olsaydı,had,,
838,olmasını,not the,,
839,e,to,,
840,bilemiyorum,I do not know,,
841,konuşma,talk,,
842,buldun,you found,,
843,istediğin,you want,,
844,mıydı,was,,
845,s,s,,
846,ikinci,second,,
847,noel,Christmas,,
848,parti,party,,
849,zamanlar,times,,
850,baksana,heigh,,
851,yapmam,I do not,,
852,işler,works,,
853,üstünde,on,,
854,sonsuza,infinity,,
855,yerinde,in place,,
856,anlat,tell,,
857,insanları,people,,
858,sayın,Dear,,
859,bob,boB,,
860,gelmiş,have come,,
861,sıra,must,,
862,bilmiyordum,I did not know,,
863,asıl,noble,,
864,kızın,your daughter,,
865,seviyor,love,,
866,soğuk,cold,,
867,siyah,black,,
868,yapalım,let's do,,
869,işim,name,,
870,birden,suddenly,,
871,general,general,,
872,almaya,take,,
873,in,of,,
874,yanına,next,,
875,göster,show,,
876,patron,boss,,
877,alacağım,I will,,
878,mike,mike,,
879,buradaki,here,,
880,sonu,end,,
881,tarafa,party,,
882,sigara,cigaret,,
883,salak,idiot,,
884,gerekir,must,,
885,bahsediyorsun,talking about,,
886,harry,harry,,
887,olmasın,whether,,
888,haklı,right,,
889,sert,hard,,
890,konu,subject,,
891,burayı,here,,
892,olmaya,not to,,
893,defa,times,,
894,umurumda,care,,
895,hak,right,,
896,özellikle,especially,,
897,biliyoruz,we know,,
898,bulmak,find,,
899,kimseye,anyone,,
900,baylar,gentlemen,,
901,gitsin,let go,,
902,adamlar,men,,
903,yemeği,food,,
904,tercih,choice,,
905,İyiyim,I'm fine,,
906,istiyorsan,if you want,,
907,dinleyin,listen,,
908,geldiniz,welcome,,
909,olma,being,,
910,iyisi,good,,
911,bilgi,information,,
912,işini,Your job,,
913,acil,urgent,,
914,kalın,thick,,
915,arabayı,car,,
916,dair,about,,
917,yapabilirim,I can,,
918,biriyle,with a,,
919,hepiniz,all of you,,
920,öldürmek,kill,,
921,söylüyorsun,you say,,
922,jimmy,jimmy,,
923,alır,gets,,
924,İşe,If,,
925,defol,get out,,
926,paul,paul,,
927,gerçeği,truth,,
928,bağlı,connected,,
929,babası,father,,
930,duyuyor,hears,,
931,babamın,my fathers,,
932,yola,way,,
933,onlarla,with them,,
934,görmedim,I did not see,,
935,amerikan,American,,
936,gayet,very,,
937,rağmen,despite,,
938,onlardan,from them,,
939,anlamı,meaning,,
940,istemiyor,does not want,,
941,tanıyor,knows,,
942,şehir,city,,
943,zorundayım,I have to,,
944,dua,prayer,,
945,değiliz,We are not,,
946,yaşıyor,lives,,
947,hoşçakal,bye,,
948,çoğu,most,,
949,taraftan,from the side,,
950,kitap,book,,
951,orası,there,,
952,yo,you,,
953,yerini,place,,
954,söyleyeyim,Let me tell,,
955,gelmek,come,,
956,adın,your name,,
957,bizden,U.S,,
958,peter,Peter,,
959,bakayım,bakayım,,
960,uyuşturucu,drug,,
961,kalan,remaining,,
962,dolayı,because,,
963,görmeye,seeing,,
964,kendime,to myself,,
965,teslim,delivery,,
966,güneş,sun,,
967,mary,Mary,,
968,kusura,defect,,
969,kral,king,,
970,kapı,door,,
971,zengin,rich,,
972,parçası,Part of it,,
973,edebilir,is able to,,
974,gir,enter,,
975,dürüst,honest,,
976,kendim,myself,,
977,iç,internal,,
978,kadınlar,women,,
979,cehenneme,hell,,
980,kalmak,stay,,
981,kapat,Close,,
982,altın,gold,,
983,silahı,weapon,,
984,okul,school,,
985,çalışıyorsun,Are you trying,,
986,gider,expense,,
987,canına,dear to,,
988,yüzbaşı,captain,,
989,affedersin,sorry,,
990,istiyorsunuz,Would you,,
991,şeyden,the thing,,
992,sık,stylish,,
993,gurur,pride,,
994,vereceğim,I will give,,
995,mesaj,message,,
996,istiyoruz,we want,,
997,b,b,,
998,sekiz,eight,,
999,hoşuma,I liked,,
1000,yaptığı,his,,
1001,eğlenceli,funny,,
1002,ağır,heavy,,
1003,takım,team,,
1004,karım,my wife,,
1005,davet,invitation,,
1006,kutsal,sacred,,
1007,ölmüş,dead,,
1008,yıllar,years,,
1009,yarım,half,,
1010,yapan,who,,
1011,hanımefendi,lady,,
1012,konuş,Talk,,
1013,ray,rail,,
1014,james,james,,
1015,saçmalık,nonsense,,
1016,sona,ends,,
1017,olduğundan,because,,
1018,herkese,to everyone,,
1019,güvenli,safe,,
1020,getirdim,I brought,,
1021,sahibi,owner,,
1022,fikrim,my idea,,
1023,çekilin,the retreat,,
1024,dünyada,in the world,,
1025,satın,buy,,
1026,bira,beer,,
1027,gitmeliyim,I must go,,
1028,teklif,bid,,
1029,altına,under,,
1030,aferin,Well done,,
1031,gidecek,will go,,
1032,aptalca,stupid,,
1033,bul,find,,
1034,mavi,blue,,
1035,demektir,means,,
1036,hatırlıyorum,I remember,,
