Rank,Turkish,English,,Notes
1037,yüce,sublime,,
1038,koy,Bay,,
1039,yaptığın,you do,,
1040,unut,forget,,
1041,suç,crime,,
1042,elinde,in your hand,,
1043,balık,the fish,,
1044,şuraya,Distance,,
1045,severim,I like it,,
1046,sebep,reason,,
1047,parça,piece,,
1048,yapıyorsunuz,you do,,
1049,arka,back,,
1050,arkadaşı,his friend,,
1051,elini,your hand,,
1052,eskiden,formerly,,
1053,verici,transmitter,,
1054,katil,killer,,
1055,peder,father,,
1056,henry,Henry,,
1057,kelime,word,,
1058,isterdim,I wish,,
1059,düşünüyordum,I was thinking,,
1060,deniz,sea,,
1061,günün,your day,,
1062,çocuğun,the child,,
1063,pis,filthy,,
1064,istemedim,I did not want,,
1065,hoşuna,welcome to the,,
1066,gitme,go,,
1067,adama,man,,
1068,sene,year,,
1069,istemem,I do not want,,
1070,götür,take,,
1071,akşamlar,evenings,,
1072,cinayet,murder,,
1073,İş,Business,,
1074,ayağa,foot,,
1075,ellerini,your hands,,
1076,billy,billy,,
1077,mesela,for example,,
1078,anlaşma,contract,,
1079,kimseyi,anyone,,
1080,alan,area,,
1081,yaz,summer,,
1082,gerekiyordu,It was supposed,,
1083,ilginç,interesting,,
1084,kavga,fight,,
1085,iyilik,favor,,
1086,serbest,independent,,
1087,söyler,tell,,
1088,ye,eat,,
1089,edelim,let's,,
1090,geldiğini,that came,,
1091,sevgilim,my darling,,
1092,resmi,formal,,
1093,arabaya,car,,
1094,olacağız,We will be,,
1095,biliyorsunuz,you know,,
1096,afedersiniz,sorry,,
1097,veriyor,giving,,
1098,oldun,you have,,
1099,max,max,,
1100,san,singing,,
1101,söyleyeceğim,I will say,,
1102,yaklaşık,about,,
1103,öğrenmek,learn,,
1104,yazık,pity,,
1105,üçüncü,third,,
1106,buralarda,here,,
1107,kayıp,lost,,
1108,tebrikler,congratulations,,
1109,kendin,yourself,,
1110,sizden,from you,,
1111,hikaye,story,,
1112,çoktan,already,,
1113,başıma,my head,,
1114,kaldım,I stayed,,
1115,erkekler,men,,
1116,söyleyin,Tell,,
1117,telefonu,phone,,
1118,hale,halo,,
1119,albay,colonel,,
1120,birinci,first,,
1121,yapmayı,making,,
1122,birazdan,soon,,
1123,duymak,hear,,
1124,gideceğim,I will go,,
1125,olanlar,Those,,
1126,endişelenme,Do not worry,,
1127,çeşit,kind,,
1128,edeyim,I will,,
1129,isim,name,,
1130,gittim,I went,,
1131,duyuyorum,I hear,,
1132,park,Park,,
1133,yapabilir,can,,
1134,yaptığım,I made,,
1135,nick,Nick,,
1136,bill,bill,,
1137,müthiş,terrific,,
1138,piç,Bastard,,
1139,ifade,phrase,,
1140,sesi,sound,,
1141,sebebi,reason,,
1142,şimdiye,now,,
1143,şef,chef,,
1144,zeki,clever,,
1145,ee,ee,,
1146,düşünmüştüm,I think,,
1147,süper,super,,
1148,hayatın,Your life,,
1149,kalmadı,Sold Out,,
1150,vakti,time,,
1151,birileri,someone,,
1152,dan,from,,
1153,eee,eee,,
1154,görünüşe,appearance,,
1155,mıyım,am I,,
1156,uh,uh,,
1157,yaşamak,live,,
1158,şanslı,lucky,,
1159,derece,degree,,
1160,geriye,back,,
1161,okula,to school,,
1162,tanıyorum,I know,,
1163,herkesi,everyone,,
1164,alıyorum,I'm getting,,
1165,ta,t,,
1166,karanlık,dark,,
1167,kimi,who,,
1168,yada,or,,
1169,yapmış,made,,
1170,paris,Paris,,
1171,sırada,Ranked,,
1172,verme,supply,,
1173,gerekli,necessary,,
1174,saygı,respect,,
1175,koş,rushed,,
1176,hayatımı,my life,,
1177,orda,there,,
1178,yiyecek,food,,
1179,olmayı,to be,,
1180,yaşam,life,,
1181,çıkıp,out,,
1182,kalacak,will stay,,
1183,kadının,woman,,
1184,vur,hit,,
1185,sol,left,,
1186,jim,jim,,
1187,iyidir,is good,,
1188,gördüğüm,I have seen,,
1189,dene,try,,
1190,farkında,aware,,
1191,gördünüz,You saw,,
1192,evin,your house,,
1193,yapmadım,I did not,,
1194,alıyor,taking,,
1195,asker,soldier,,
1196,olurum,I will be,,
1197,hayatı,vital,,
1198,isteyen,want,,
1199,yaramaz,naughty,,
1200,bulduk,we found,,
1201,yoldan,the road,,
1202,yapıyoruz,we do,,
1203,suçlu,guilty,,
1204,neredesin,where are you,,
1205,nesi,What,,
1206,çift,double,,
1207,korkarım,I am afraid,,
1208,alex,alex,,
1209,görev,task,,
1210,tarafta,on the side,,
1211,kara,black,,
1212,döndü,returned,,
1213,nerde,where,,
1214,inanılmaz,unbelievable,,
1215,çavuş,Sergeant,,
1216,verdin,you gave,,
1217,yapabilirsin,you can,,
1218,gözlerini,your eyes,,
1219,nedeni,Reason,,
1220,İkinci,Second,,
1221,bilmiyorsun,You do not know,,
1222,güven,confidence,,
1223,üst,upper,,
1224,polisi,police,,
1225,annesi,mother,,
1226,sürece,as long as,,
1227,arıyorum,I'm looking for,,
1228,hayvan,animal,,
1229,oyunu,game,,
1230,etmez,does not,,
1231,hediye,present,,
1232,dünyayı,the world,,
1233,danny,danny,,
1234,istersin,you want,,
1235,açın,open,,
1236,istediğimi,I want,,
1237,giden,outgoing,,
1238,daima,always,,
1239,mal,goods,,
1240,ayak,foot,,
1241,zorundasın,you have to,,
1242,duruyor,stands,,
1243,olayı,event,,
1244,sarah,sarah,,
1245,cidden,really,,
1246,kadını,woman,,
1247,ciddiyim,I am serious,,
1248,olman,Do not be,,
1249,öldürdü,killed,,
1250,sever,lovers,,
1251,uyan,wake up,,
1252,profesör,professor,,
1253,sevdim,I loved,,
1254,kalsın,Keep,,
1255,elde,obtained,,
1256,sıradan,ordinary,,
1257,nasılsınız,nasılsınız,,
1258,şanslar,luck,,
1259,çalıştım,I worked,,
1260,olabilirim,I can,,
1261,çalışan,working,,
1262,alman,German,,
1263,kalp,heart,,
1264,söylemiştin,tell you,,
1265,iğrenç,disgusting,,
1266,yanımda,by my side,,
1267,johnny,johnny,,
1268,sarhoş,drunk,,
1269,haline,into,,
1270,tamamdır,it is okay,,
1271,verecek,will give,,
1272,alacak,credit,,
1273,d,D,,
1274,çıkmak,exit,,
1275,yolda,on the road,,
1276,tutun,tobacco,,
1277,ediyoruz,we do,,
1278,ortak,partner,,
1279,kafa,head,,
1280,ön,front,,
1281,edersin,edersin,,
1282,kaldır,remove,,
1283,londra,London,,
1284,sahi,actually,,
1285,anlamına,meaning,,
1286,amca,uncle,,
1287,baştan,all over,,
1288,istiyorlar,they want,,
1289,teğmen,lieutenant,,
1290,gibiydi,it seemed to,,
1291,dedektif,detective,,
1292,korkuyorum,I'm afraid,,
1293,rica,request,,
1294,dava,case,,
1295,işleri,jobs,,
1296,kulak,ear,,
1297,gücü,power,,
1298,gitmiş,gone,,
1299,gerekecek,need,,
1300,veririm,I give,,
1301,tony,tony,,
1302,arıyor,calling,,
1303,muydu,was,,
1304,geldiğinde,when,,
1305,olduğumuzu,we are,,
1306,güzeldi,it was nice,,
1307,bobby,bobby,,
1308,mektup,letter,,
1309,eddie,eddie,,
1310,günde,day,,
1311,ders,lesson,,
1312,annemin,my mom's,,
1313,yoluna,way to,,
1314,çay,tea,,
1315,la,la,,
1316,muyum,am I,,
1317,yerden,from the ground,,
1318,derin,deep,,
1319,etmiş,meat,,
1320,türlü,various,,
1321,yaptık,we did,,
1322,yolunu,the way,,
1323,akıllı,smart,,
1324,değer,value,,
1325,ettiğini,Watch it,,
1326,getirin,bring the,,
1327,oturun,sit down,,
1328,etmeyin,Do not,,
1329,domuz,pig,,
1330,çalış,Work,,
1331,özgür,free,,
1332,önceden,previously,,
1333,kapalı,closed,,
1334,şeytan,Satan,,
1335,yardıma,help,,
1336,güney,South,,
1337,önemi,the importance,,
1338,sürpriz,surprise,,
1339,kişisel,personal,,
1340,grup,group,,
1341,alayım,alayım,,
1342,m,m,,
1343,miydin,Did you,,
1344,başlıyor,starting,,
1345,uçak,airplane,,
1346,sorunun,the problem,,
1347,evli,The married,,
1348,dünyaya,to the Earth,,
1349,alırım,I get,,
1350,ortadan,the middle,,
1351,istediği,wanted,,
1352,ikiniz,both of you,,
1353,doğal,natural,,
1354,buydu,This was,,
1355,bekliyorum,I'm waiting,,
1356,bildiğim,I know,,
1357,metre,meter,,
1358,bazıları,some,,
1359,konuşuyor,speaking,,
1360,hani,behold,,
1361,kaza,accident,,
1362,majesteleri,Your Majesty,,
1363,ilgisi,interest,,
1364,insanlara,to people,,
1365,ziyaret,visit,,
1366,diğerleri,others,,
1367,elimden,stripped,,
1368,İnsan,Human,,
1369,steve,steve,,
1370,başladım,I started,,
1371,yeşil,green,,
1372,çocukların,children,,
1373,ikna,persuasion,,
1374,babanın,father,,
1375,yarısı,half,,
1376,rüya,dream,,
1377,kat,floor,,
1378,hmm,hmm,,
1379,arkasında,behind,,
1380,edildi,It was,,
1381,you,you,,
1382,hiçbirşey,nothing,,
1383,topu,ball,,
1384,kuzey,North,,
1385,muydun,Did you,,
1386,edip,whether,,
1387,top,ball,,
1388,bey,bey,,
1389,buradasın,you are here,,
1390,bahse,bet,,
1391,etmeyi,Do not,,
1392,sonuna,to the end,,
1393,ölmek,die,,
1394,can,Bell,,
1395,jake,jake,,
1396,şurada,there,,
1397,adamla,man,,
1398,almış,received,,
1399,aşağıda,below,,
1400,degil,not,,
1401,değerli,valuable,,
1402,ararım,I'll call,,
1403,zorundayız,We have,,
1404,kafayı,head,,
1405,numaralı,numbered,,
1406,olduğunuzu,be you,,
1407,zamanlarda,in time,,
1408,ileri,next,,
1409,önceki,previous,,
1410,başarılı,successful,,
1411,yapman,do not,,
1412,gerekirse,if necessary,,
1413,zevk,taste,,
1414,destek,support,,
1415,lee,lee,,
1416,olabilirsin,you can be,,
1417,gelmiyor,does not come,,
1418,geçiyor,passing,,
1419,seksi,sexy,,
1420,ajan,agent,,
1421,aradı,called,,
1422,oğlu,son-,,
1423,inanıyorum,I believe,,
1424,olduklarını,they are,,
1425,dışı,female,,
1426,sorunu,problem,,
1427,şeker,candy,,
1428,gitmeliyiz,we should go,,
1429,aşağıya,down,,
1430,çıkıyor,turns out,,
1431,kardeş,brother,,
1432,derhal,immediately,,
1433,olmam,I have,,
1434,mıyız,Are we,,
1435,charles,charles,,
1436,dokuz,nine,,
1437,iyiydi,good,,
1438,mesele,matter,,
1439,gelmedi,did not come,,
1440,don,frost,,
1441,yatak,bed,,
1442,kalmış,I have stayed,,
1443,olmadığı,it is not,,
1444,insanın,people,,
1445,çin,China,,
1446,dönmek,return,,
1447,mark,marker,,
1448,roma,Rome,,
1449,konuyu,subject,,
1450,richard,richard,,
1451,oturup,sit,,
1452,geleni,from the,,
1453,tommy,tommy,,
1454,resim,picture,,
1455,İmdat,Help,,
1456,gelebilir,may come,,
1457,arıyorsun,are you looking,,
1458,yazıyor,he is writing,,
1459,yabancı,foreign,,
1460,şarap,wine,,
1461,kaybettim,I lost,,
1462,kıçını,ass,,
1463,çalışma,work,,
1464,ünlü,famous,,
1465,bomba,bomb,,
1466,nasıi,How,,
1467,üzgün,sad,,
1468,olanları,ones,,
1469,jerry,Jerry,,
1470,olduğunda,when,,
1471,askeri,military,,
1472,imkansız,impossible,,
1473,tehdit,threatening,,
1474,araya,together,,
1475,yemeğe,eat,,
1476,elimde,in my hand,,
1477,alt,lower,,
1478,deme,do not say,,
1479,olanı,with,,
1480,çalışmak,work,,
1481,adamları,men,,
1482,çılgın,crazy,,
1483,plan,plan,,
1484,yağmur,rain,,
1485,anlamadım,I did not understand,,
1486,etrafta,around,,
1487,boktan,shitty,,
1488,aşağılık,vile,,
1489,buz,ice,,
1490,güvende,in confidence,,
1491,hapse,jail,,
1492,gideceğiz,we will go,,
1493,çekici,attractive,,
1494,sanmıştım,I think,,
1495,havaya,up,,
1496,yakışıklı,handsome,,
1497,İzin,Permission,,
1498,aklıma,to my mind,,
1499,der,says,,
1500,yıldız,star,,
1501,mantıklı,sensible,,
1502,girdi,entry,,
1503,sevdiğim,Favorite,,
1504,sandım,I thought,,
1505,aklını,your mind,,
1506,demiştim,I said,,
1507,ailem,parents,,
1508,buyurun,Help yourself,,
1509,İngiliz,English,,
1510,edebilirim,I can,,
1511,kocaman,huge,,
1512,söylemem,I say,,
1513,ailesi,family,,
1514,kime,to who,,
1515,öldür,kill,,
1516,olsam,I would,,
1517,ederiz,we will,,
1518,teki,one of,,
1519,evden,house,,
1520,k,k,,
1521,konuşabilir,can speak,,
1522,çıkın,Quit,,
1523,şerif,Sheriff,,
1524,kardeşin,brother,,
1525,başlıyoruz,we begin,,
1526,söylediler,they say,,
1527,düştü,fell,,
1528,mr,m,,
1529,jane,jane,,
1530,geçmiş,past,,
1531,sor,sir,,
1532,hazırım,I am ready,,
1533,başla,Start,,
1534,dokunma,touch,,
1535,şimdilik,for now,,
1536,evinde,house,,
1537,aşırı,extreme,,
1538,aramızda,in our midst,,
1539,değildim,I was not,,
1540,söyleyecek,will say,,
1541,karısı,his wife,,
1542,bunlardan,of them,,
1543,hatırladın,remind,,
1544,sayılmaz,does not count,,
1545,memur,officer,,
1546,yan,side,,
1547,dünyadaki,around the world,,
1548,gittiğini,Go to it,,
1549,oynamak,play,,
1550,yüzünü,his face,,
1551,yapayım,Shall I,,
1552,öylece,just,,
1553,kitabı,book,,
1554,girin,enter,,
1555,anna,anna,,
1556,birer,a,,
1557,aldık,We received,,
1558,zayıf,weak,,
1559,sıkıcı,boring,,
1560,bayağı,pretty,,
1561,işten,fired,,
1562,saatte,hours,,
1563,adil,fair,,
1564,önüne,before,,
1565,söylemişti,he said,,
1566,çirkin,ugly,,
1567,ışık,light,,
1568,uzakta,away,,
1569,zamanında,on time,,
1570,pazar,market,,
1571,anlama,understanding,,
1572,geleceğim,My future,,
1573,söylemedim,I do not say,,
1574,ikimiz,the two of us,,
1575,kenara,aside,,
1576,not,note,,
1577,İnanılmaz,Unbelievable,,
1578,kuş,bird,,
1579,yana,sideways,,
1580,savaşı,war,,
1581,hizmet,service,,
1582,yaşayan,live,,
1583,lan,man,,
1584,sahte,fake,,
1585,yapın,Make,,
1586,polisler,police officers,,
1587,başlayalım,lets start,,
1588,t,t,,
1589,ruh,spirit,,
1590,olacaktır,will be,,
1591,gemi,ship,,
1592,buldu,found,,
1593,chris,chris,,
1594,söylemeye,tell,,
1595,kate,catenin,,
1596,söylediğim,I say,,
1597,sınıf,class,,
1598,dave,dave,,
1599,başı,head,,
1600,evlilik,marriage,,
1601,çıkarın,Disconnect,,
1602,anlaştık,agreed,,
1603,bilim,science,,
1604,işine,job,,
1605,düzgün,smooth,,
1606,ismi,Browse,,
1607,robert,robert,,
1608,dönerim,I'll be back,,
1609,fazlasını,more,,
1610,problem,problem,,
1611,hayatımın,my life,,
1612,binlerce,thousands,,
1613,zenci,black,,
1614,genelde,generally,,
1615,afedersin,sorry,,
1616,karın,abdomen,,
1617,zamana,time,,
1618,gelince,as for,,
1619,gelmez,does not,,
1620,aradım,I called,,
1621,gibisin,You seem,,
1622,com,com,,
1623,bişey,something,,
1624,korumak,protect,,
1625,los,loess,,
1626,ediyorlar,they're,,
1627,fransız,French,,
1628,göstermek,show,,
1629,İngiltere,Britain,,
1630,dahil,including,,
1631,filmi,film,,
1632,oradaki,there,,
1633,andy,andy,,
1634,hastaneye,to hospital,,
1635,iyice,thoroughly,,
1636,konuşmaya,to talk,,
1637,öldürmeye,kill,,
1638,tamir,repair,,
1639,avukat,attorney,,
1640,kocam,my husband,,
1641,öldürdün,you killed,,
1642,olursun,you'd,,
1643,gösteriyor,is showing,,
1644,suyu,water,,
1645,hamile,pregnant,,
1646,iptal,cancel,,
1647,yukarıda,above,,
1648,koç,coach,,
1649,will,will,,
1650,iyisini,the best,,
1651,bol,plenty,,
1652,prenses,princess,,
1653,cuma,Friday,,
1654,yargıç,judge,,
1655,cesur,brave,,
1656,mil,shaft,,
1657,döneceğim,I'll be back,,
1658,diyeceğim,I say,,
1659,parasını,money,,
1660,param,my money,,
1661,taş,rock,,
1662,hallederim,I got,,
1663,kadarıyla,as far as,,
1664,bıraktım,I left,,
1665,bakmak,look,,
1666,meşgul,busy,,
1667,martin,martin,,
1668,odasında,in room,,
1669,yaptığımı,do what I,,
1670,ettik,I've,,
1671,etmem,I would not,,
1672,nerden,where,,
1673,süredir,time is,,
1674,mutluyum,I'm happy,,
1675,boşver,Never mind,,
1676,doğu,East,,
1677,yapacağımı,to do,,
1678,getirdi,brought,,
1679,görüyorsun,you see,,
1680,canını,canını,,
1681,yaparsın,you do,,
1682,hangisi,which,,
1683,yapamazsın,you can not,,
1684,fırsat,opportunity,,
1685,zamanki,the time,,
1686,kedi,cat,,
1687,birazcık,a little,,
1688,sağlam,sturdy,,
1689,şansı,chance,,
1690,başkanı,chairman,,
1691,zamandan,time,,
1692,c,c,,
1693,taksi,taxi,,
1694,r,r,,
1695,batı,West,,
1696,sizce,what do you think,,
1697,olmuştu,had been,,
1698,kör,blind,,
1699,girmek,enter,,
1700,haberi,news,,
1701,göremiyorum,I can not see,,
1702,unuttum,I forgot,,
1703,yakaladım,I caught,,
1704,vahşi,wild,,
1705,özledim,I missed,,
1706,söylerim,I say,,
1707,hayatımda,in my life,,
1708,görmüş,have seen,,
1709,elimizde,our hands,,
1710,tv,TV,,
1711,bıraktı,he left,,
1712,hatırlamıyorum,I do not remember,,
1713,değiller,They are not,,
1714,gösteri,show,,
1715,birbirimizi,each other,,
1716,yolculuk,trip,,
1717,arkadaşlar,friends,,
1718,yahudi,Jewish,,
1719,İşin,Ray,,
1720,durma,stop,,
1721,hayir,no,,
1722,larry,larry,,
1723,söylesene,tell me,,
1724,william,william,,
1725,girecek,will enter,,
1726,emir,order,,
1727,yapabiliriz,we can,,
1728,kulağa,ear,,
1729,sırasında,during,,
1730,diyelim,let's say,,
1731,olmasına,not to,,
1732,adi,ordinary,,
1733,öğle,noon,,
1734,brian,brian,,
1735,kiminle,with whom,,
1736,babamı,my father,,
1737,walter,walter,,
1738,geride,back,,
1739,istedin,did you,,
1740,silahını,weapon,,
1741,yerlerde,places,,
1742,dönüp,return,,
1743,elinden,hand from,,
1744,kurtarmak,rescue,,
1745,İnsanların,Peoples,,
1746,nasıldı,how was it,,
1747,test,test,,
1748,fotoğraf,photo,,
1749,ters,reverse,,
1750,bölüm,chapter,,
1751,budur,This is,,
1752,çıplak,naked,,
1753,tavuk,chicken,,
1754,washington,washington,,
1755,geçiyorsun,are you kidding me,,
1756,and,and,,
1757,kevin,kevin,,
1758,madam,madam,,
1759,l,l,,
1760,yarı,half,,
1761,of,Ugh,,
1762,benzer,similar,,
1763,başında,early,,
1764,buradayız,we are here,,
1765,etmiyor,does not,,
1766,öldüreceğim,I will kill,,
1767,İstediğin,You want,,
1768,söylemedin,you did not tell,,
1769,veren,that,,
1770,rapor,report,,
1771,çıkmış,out,,
1772,ikisi,the two,,
1773,bilirsiniz,you know,,
1774,kahraman,hero,,
1775,odası,room,,
1776,arama,search,,
1777,şükür,Thank god,,
1778,olmuyor,It is not,,
1779,konusu,subject,,
1780,konuştum,I talked to,,
1781,kaltak,bitch,,
1782,fahişe,whore,,
1783,ayrı,separate,,
1784,giriş,login,,
1785,harekete,motion,,
1786,kullan,use,,
1787,cesaret,courage,,
1788,ettiler,they,,
1789,adında,named,,
1790,edemem,I can not,,
1791,parlak,bright,,
1792,angeles,angeles,,
1793,thomas,thomas,,
1794,sayesinde,thanks to,,
1795,alalım,Let's,,
1796,yüzde,percent,,
1797,işaret,mark,,
1798,şeyim,My stuff,,
1799,bakıyorum,I'm looking,,
1800,bizler,ourselves,,
1801,kızla,girl,,
1802,İngilizce,English,,
1803,bilirim,I know,,
1804,fbi,FBI,,
1805,merkezi,central,,
1806,konuşuyorsun,you are talking,,
1807,masum,innocent,,
1808,dediğimi,I also,,
1809,kilo,weight,,
1810,girerim,I'll,,
1811,düşman,foe,,
1812,it,it,,
1813,edeceğiz,We will,,
1814,kişinin,the people,,
1815,yirmi,twenty,,
1816,sıradaki,Next,,
1817,yapmamı,make my,,
1818,birbirimize,each other,,
1819,görüşmek,discuss,,
1820,ettiğim,I've,,
1821,başa,head,,
1822,okulda,at school,,
1823,bakıyorsun,looking at you,,
1824,dönüyor,returns,,
1825,çıkan,outgoing,,
1826,beyefendi,gentleman,,
1827,gittin,you went,,
1828,kıza,girl,,
1829,bölge,area,,
1830,orta,middle,,
1831,yat,yacht,,
1832,parmak,finger,,
1833,futbol,football,,
1834,filan,and so on,,
1835,itibaren,from,,
1836,yapıyorlar,They are doing,,
1837,ihtiyaç,need,,
1838,araştırma,research,,
1839,tedavi,treatment,,
1840,sorumlu,responsible,,
1841,hariç,excluding,,
1842,cep,pocket,,
1843,arasındaki,between,,
1844,sus,ornamental,,
1845,ardından,behind,,
1846,birisin,one,,
1847,engel,obstacle,,
1848,ülke,country,,
1849,şimdiden,already,,
1850,tren,train,,
1851,ortada,in the middle,,
1852,geliyorlar,they come,,
1853,idare,administration,,
1854,tarafı,side,,
1855,fransa,France,,
1856,serseri,punk,,
1857,nazik,kind,,
1858,bırakıp,leave,,
1859,burdan,from here,,
1860,istiyordum,I wanted,,
1861,televizyon,television,,
1862,yıllık,yearly,,
1863,gene,again,,
1864,olmaktan,being,,
1865,tanıştığımıza,to meet,,
1866,üzerinden,over,,
1867,bulmaya,find,,
1868,seçim,selection,,
1869,iyisin,you're good,,
1870,madem,since,,
1871,odada,in the room,,
1872,eh,City,,
1873,kar,profit,,
1874,arabada,In the car,,
1875,parası,money,,
1876,canavar,monster,,
1877,j,j,,
1878,numarası,its number,,
1879,konuşalım,Let's talk,,
1880,banka,bank,,
1881,rock,rock,,
1882,kurt,Kurdish,,
1883,sakıncası,mind,,
1884,kızgın,angry,,
1885,carl,carla,,
1886,annenin,your mother's,,
1887,barış,peace,,
1888,sormak,ask,,
1889,gördü,he saw,,
1890,verdiği,tweaking,,
1891,uyuyor,sleeping,,
1892,yatağa,To bed,,
1893,cumartesi,Saturday,,
1894,kokuyor,smells,,
1895,öğleden,afternoon,,
1896,annemi,my mother,,
1897,sey,thing,,
1898,spor,spore,,
1899,nin,the,,
1900,yalancı,liar,,
1901,yolun,the road,,
1902,hedef,target,,
1903,avrupa,European,,
1904,mutlaka,surely,,
1905,kazanmak,win,,
1906,onda,tenth,,
1907,İçinde,In,,
1908,polise,police,,
1909,öldürecek,will kill,,
1910,geleceğini,the future,,
1911,itiraf,confession,,
1912,üstelik,moreover,,
1913,savunma,defense,,
1914,odasına,room,,
1915,gerekmiyor,You do not need,,
1916,dönün,Return,,
1917,arthur,arthur,,
1918,olağanüstü,exceptional,,
1919,sevimli,cute,,
1920,dersiniz,your course,,
1921,usta,master,,
1922,epey,quite,,
1923,matt,matt,,
1924,bilmiyoruz,We do not know,,
1925,olabileceğini,might,,
1926,saldırı,attack,,
1927,yıllardır,for years,,
1928,sola,left,,
1929,neymiş,neymiş,,
1930,peşinde,behind,,
1931,yapmayın,do not,,
1932,demiştin,You said,,
1933,olsaydım,if I were,,
1934,çıkış,exit,,
1935,aşkım,my love,,
1936,alice,alice,,
1937,yapmamız,we do,,
1938,n,n,,
1939,vereyim,Let me give you,,
1940,yarar,benefit,,
1941,lisa,lisa,,
1942,bunda,herein,,
1943,kendinizi,yourself,,
1944,öğrendim,I learned,,
1945,hayatının,of life,,
1946,tanışmak,meet,,
1947,biliyordu,he knew,,
1948,kimdi,who,,
1949,korku,fear,,
1950,veremem,can not give,,
1951,başını,head,,
1952,eğlence,entertainment,,
1953,yapacağını,would do,,
1954,bakmayın,look,,
1955,derler,they say,,
1956,unuttun,you forgot,,
1957,hissettim,I felt,,
1958,kısmı,partial,,
1959,sanat,art,,
1960,içeride,inside,,
1961,doğrusu,actually,,
1962,İnan,Believe,,
1963,sır,secret,,
1964,götürün,take,,
1965,inanmıyorum,I do not believe,,
1966,tutmak,keep,,
1967,olmalıyım,I should be,,
1968,amerikalı,American,,
1969,kurşun,bullet,,
1970,üzüldüm,I'm sorry,,
1971,diyorlar,they say,,
1972,değilse,if not,,
1973,düğün,wedding,,
1974,yasal,legal,,
1975,ettiği,Watch it,,
1976,fazlası,more than,,
1977,kaçtı,escaped,,
1978,dediğim,I also,,
1979,bizde,us,,
1980,başından,At the beginning,,
1981,sırf,sheer,,
1982,kendisini,himself,,
1983,alma,taking,,
1984,şeylerin,things,,
1985,ulusal,National,,
1986,beyin,brain,,
1987,etmelisin,You should,,
1988,fikrin,the idea,,
1989,kardeşi,brother,,
1990,edeceksin,you're going,,
1991,sürtük,slut,,
1992,şansın,the chance,,
1993,insanı,human,,
1994,istemiştim,I want,,
1995,tavsiye,advice,,
1996,sağa,right,,
1997,ordu,army,,
1998,şerefe,Cheers,,
1999,canın,the soul,,
2000,çalışıyoruz,we are working,,